#971  datapoints: v_lsr [km/s] and T_B [K]
#LAB  survey ------------------
#wanted position:  l, b, RA, DEC, and interpolated  NH
#29.00 ;   0.00 ; 281.06 ;  -3.50 ;  0.198E+23
     399.82     0.172
     399.00     0.061
     398.17     0.045
     397.35     0.155
     396.52     0.150
     395.70    -0.008
     394.87     0.047
     394.05    -0.018
     393.23     0.011
     392.40     0.086
     391.58     0.009
     390.75    -0.090
     389.93     0.121
     389.10     0.122
     388.28    -0.038
     387.45     0.000
     386.63    -0.129
     385.81    -0.020
     384.98     0.097
     384.16     0.111
     383.33     0.007
     382.51    -0.052
     381.68    -0.063
     380.86    -0.247
     380.04     0.074
     379.21     0.052
     378.39     0.072
     377.56    -0.010
     376.74    -0.045
     375.91    -0.004
     375.09    -0.040
     374.26    -0.111
     373.44     0.090
     372.62    -0.079
     371.79     0.008
     370.97     0.090
     370.14    -0.010
     369.32     0.257
     368.49     0.047
     367.67     0.060
     366.85     0.003
     366.02    -0.182
     365.20    -0.106
     364.37    -0.094
     363.55    -0.171
     362.72    -0.056
     361.90    -0.178
     361.07     0.001
     360.25    -0.097
     359.43    -0.022
     358.60     0.043
     357.78    -0.041
     356.95    -0.108
     356.13    -0.038
     355.30     0.097
     354.48     0.213
     353.66     0.106
     352.83     0.004
     352.01     0.094
     351.18    -0.050
     350.36     0.128
     349.53     0.070
     348.71     0.130
     347.88    -0.245
     347.06     0.076
     346.24    -0.274
     345.41    -0.022
     344.59    -0.129
     343.76    -0.136
     342.94    -0.110
     342.11    -0.127
     341.29     0.183
     340.47    -0.260
     339.64     0.121
     338.82    -0.037
     337.99     0.232
     337.17     0.066
     336.34    -0.095
     335.52    -0.015
     334.69    -0.193
     333.87    -0.216
     333.05     0.047
     332.22     0.045
     331.40    -0.096
     330.57     0.028
     329.75    -0.093
     328.92     0.115
     328.10     0.032
     327.28    -0.103
     326.45    -0.031
     325.63    -0.227
     324.80    -0.097
     323.98     0.053
     323.15    -0.119
     322.33    -0.187
     321.50     0.195
     320.68     0.094
     319.86     0.090
     319.03     0.016
     318.21    -0.023
     317.38     0.188
     316.56     0.066
     315.73    -0.173
     314.91    -0.178
     314.09    -0.005
     313.26     0.216
     312.44     0.128
     311.61    -0.001
     310.79     0.188
     309.96    -0.060
     309.14    -0.228
     308.31    -0.017
     307.49     0.190
     306.67    -0.168
     305.84     0.168
     305.02    -0.076
     304.19     0.188
     303.37     0.038
     302.54    -0.090
     301.72    -0.097
     300.90     0.025
     300.07     0.244
     299.25    -0.012
     298.42    -0.047
     297.60    -0.059
     296.77     0.271
     295.95     0.069
     295.12     0.094
     294.30     0.100
     293.48    -0.017
     292.65    -0.233
     291.83    -0.102
     291.00     0.101
     290.18     0.043
     289.35     0.348
     288.53    -0.224
     287.71    -0.036
     286.88    -0.042
     286.06     0.159
     285.23     0.020
     284.41    -0.096
     283.58    -0.080
     282.76     0.076
     281.93     0.068
     281.11     0.207
     280.29    -0.242
     279.46     0.078
     278.64    -0.152
     277.81     0.224
     276.99     0.167
     276.16    -0.320
     275.34     0.020
     274.52    -0.219
     273.69     0.021
     272.87    -0.108
     272.04     0.180
     271.22     0.023
     270.39     0.024
     269.57     0.236
     268.75    -0.130
     267.92    -0.003
     267.10    -0.003
     266.27     0.080
     265.45     0.023
     264.62     0.018
     263.80    -0.101
     262.97    -0.030
     262.15    -0.012
     261.33     0.148
     260.50     0.006
     259.68    -0.103
     258.85    -0.053
     258.03     0.140
     257.20    -0.145
     256.38    -0.053
     255.56     0.185
     254.73    -0.111
     253.91     0.198
     253.08     0.004
     252.26     0.046
     251.43     0.062
     250.61     0.022
     249.78     0.021
     248.96     0.186
     248.14    -0.060
     247.31     0.185
     246.49     0.106
     245.66     0.005
     244.84     0.152
     244.01     0.042
     243.19     0.184
     242.37    -0.243
     241.54     0.051
     240.72     0.175
     239.89    -0.053
     239.07    -0.032
     238.24    -0.130
     237.42    -0.052
     236.59    -0.185
     235.77    -0.022
     234.95     0.178
     234.12    -0.203
     233.30     0.210
     232.47     0.048
     231.65     0.010
     230.82     0.273
     230.00     0.050
     229.18     0.062
     228.35     0.031
     227.53    -0.116
     226.70     0.049
     225.88    -0.319
     225.05     0.051
     224.23     0.077
     223.40    -0.016
     222.58    -0.064
     221.76    -0.052
     220.93    -0.072
     220.11    -0.137
     219.28     0.019
     218.46     0.087
     217.63    -0.098
     216.81     0.067
     215.99    -0.021
     215.16     0.073
     214.34    -0.062
     213.51     0.104
     212.69    -0.058
     211.86     0.036
     211.04     0.272
     210.21    -0.082
     209.39    -0.073
     208.57    -0.211
     207.74     0.178
     206.92    -0.039
     206.09     0.073
     205.27    -0.228
     204.44    -0.044
     203.62    -0.244
     202.80    -0.005
     201.97    -0.069
     201.15    -0.213
     200.32     0.050
     199.50    -0.022
     198.67     0.095
     197.85     0.110
     197.02    -0.094
     196.20    -0.074
     195.38    -0.188
     194.55    -0.163
     193.73     0.147
     192.90     0.084
     192.08     0.054
     191.25    -0.103
     190.43     0.007
     189.61    -0.009
     188.78    -0.011
     187.96     0.168
     187.13     0.005
     186.31     0.009
     185.48     0.075
     184.66     0.009
     183.83     0.046
     183.01     0.157
     182.19    -0.063
     181.36     0.081
     180.54    -0.125
     179.71     0.065
     178.89    -0.114
     178.06     0.068
     177.24    -0.096
     176.42     0.259
     175.59     0.043
     174.77     0.093
     173.94     0.122
     173.12    -0.101
     172.29    -0.020
     171.47     0.035
     170.64    -0.044
     169.82    -0.082
     169.00    -0.069
     168.17    -0.055
     167.35     0.231
     166.52     0.023
     165.70     0.068
     164.87    -0.009
     164.05    -0.032
     163.23     0.021
     162.40     0.117
     161.58     0.068
     160.75    -0.007
     159.93     0.134
     159.10    -0.019
     158.28     0.101
     157.45    -0.217
     156.63     0.035
     155.81    -0.091
